
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2497  [2001:ac8:39:a::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2498  [2001:ac8:94:2::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2499  [2a02:6ea0:2403::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2528  [2a02:6ea0:2a00::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2529  [2a02:6ea0:1b01::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2537  [2a02:6ea0:4704::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2540  [2605:6440:f000:1:103:88:234:43]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2565  [2a13:6304:0:10::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2566  [2a02:6ea0:4a02::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2595  [2a02:6ea0:d81c::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2630  [2a02:6ea0:1203::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2664  [2a02:6ea0:e106::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2668  [2001:ac8:8f:2::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2719  [2001:ac8:96:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2738  [2001:ac8:7d:25::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2745  [2404:f780:5:201::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2759  [2a04:9dc0:20:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2822  [2a02:6ea0:3701::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2856  [2a02:6ea0:d16a::6]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2868  [2a0d:5600:9:d0::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2879  [2a11:3801:0:1b::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2880  [2001:ac8:93:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2891  [2605:6440:e000:0:103:219:169:16]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2926  [2a02:6ea0:c731::12]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2929  [2001:ac8:38:5b::4]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2934  [2a02:6ea0:2600::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2942  [2001:ac8:16:2::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2948  [2a02:6ea0:d211::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2969  [2a0d:5600:2:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2982  [2a02:6ea0:d00f:1::3]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2983  [2a0c:f040:0:3434::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2984  [2a02:6ea0:eb01::3]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3003  [2a02:6ea0:2702::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3005  [2a02:6ea0:d309:2::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3015  [2a02:6ea0:3600::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3023  [2a02:6ea0:1100::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3027  [2a02:6ea0:de05:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3028  [2a02:6ea0:c41a:3::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3040  [2a02:6ea0:c637::4]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3041  [2001:ac8:81:19::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3048  [2001:ac8:84:7::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3052  [2a02:6ea0:f404::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3060  [2001:ac8:2:4::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3069  [2001:ac8:36:4c::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3079  [2605:6440:b000:0:103:50:33:20]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3092  [2a02:6ea0:2600::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3098  [2a02:6ea0:c01a:2::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3102  [2a02:6ea0:1301::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3106  [2001:ac8:8:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3115  [2a02:6ea0:4b02::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3131  [2603:1040:5:8::]:443  ESTABLISHED     6228
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:3209  [2603:1040:5:8::]:443  ESTABLISHED     13680
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8667  [2408:871a:2100:14:0:ff:b05e:adf]:443  CLOSE_WAIT      15224
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8697  [240e:460:3400:773:fcd1:48ff:fe14:6495]:51413  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8718  [2409:8a28:70b9:ff84:6fe1:ca95:4305:6fa8]:34135  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8745  [2409:8a20:ed0:24c0:a0de:f1a:12a:2]:45369  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8766  [2409:8a28:70b9:ff84::c57]:38641  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8776  [2409:8a20:4ee3:b981::24f]:37221  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8815  [2408:8220:b17:c60:953e:70a3:e5ef:fc3d]:36099  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8816  [240e:3b3:56da:c80::de]:16881  TIME_WAIT       0
